Ref_Date,GEO,Geographical classification,AGE,SEX,UNIT,Vector,Coordinate,Value
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Males,Statistically different from the provincial rate (number),v53828765,54.1.2.5,0.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Males,Statistically different from the provincial rate (number),v53828765,54.1.2.5,-1.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Males,Statistically different from the provincial rate (number),v53828765,54.1.2.5,-1.0
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Males,Statistically different from the provincial rate (number),v53828765,54.1.2.5,-1.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Males,Statistically different from the peer group rate (number),v53828766,54.1.2.6,1.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Males,Statistically different from the peer group rate (number),v53828766,54.1.2.6,1.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Males,Statistically different from the peer group rate (number),v53828766,54.1.2.6,1.0
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Males,Statistically different from the peer group rate (number),v53828766,54.1.2.6,1.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Males,Statistically different from reference period five years previous (number),v53828767,54.1.2.7,..
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Males,Statistically different from reference period five years previous (number),v53828767,54.1.2.7,0.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Males,Statistically different from reference period five years previous (number),v53828767,54.1.2.7,..
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Males,Statistically different from reference period five years previous (number),v53828767,54.1.2.7,..
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Life expectancy,v53828768,54.1.3.1,78.7
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Life expectancy,v53828768,54.1.3.1,80.5
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Life expectancy,v53828768,54.1.3.1,80.6
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Life expectancy,v53828768,54.1.3.1,80.9
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,"Low 95% confidence interval, life expectancy",v53828769,54.1.3.2,76.4
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,"Low 95% confidence interval, life expectancy",v53828769,54.1.3.2,78.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,"Low 95% confidence interval, life expectancy",v53828769,54.1.3.2,78.1
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,"Low 95% confidence interval, life expectancy",v53828769,54.1.3.2,78.1
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,"High 95% confidence interval, life expectancy",v53828770,54.1.3.3,81.1
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,"High 95% confidence interval, life expectancy",v53828770,54.1.3.3,82.9
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,"High 95% confidence interval, life expectancy",v53828770,54.1.3.3,83.2
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,"High 95% confidence interval, life expectancy",v53828770,54.1.3.3,83.7
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from the Canada rate (number),v53828771,54.1.3.4,-1.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from the Canada rate (number),v53828771,54.1.3.4,-1.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from the Canada rate (number),v53828771,54.1.3.4,0.0
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from the Canada rate (number),v53828771,54.1.3.4,0.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from the provincial rate (number),v53828772,54.1.3.5,-1.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from the provincial rate (number),v53828772,54.1.3.5,-1.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from the provincial rate (number),v53828772,54.1.3.5,-1.0
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from the provincial rate (number),v53828772,54.1.3.5,0.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from the peer group rate (number),v53828773,54.1.3.6,1.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from the peer group rate (number),v53828773,54.1.3.6,1.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from the peer group rate (number),v53828773,54.1.3.6,1.0
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from the peer group rate (number),v53828773,54.1.3.6,1.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from reference period five years previous (number),v53828774,54.1.3.7,..
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from reference period five years previous (number),v53828774,54.1.3.7,0.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from reference period five years previous (number),v53828774,54.1.3.7,..
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At birth,Females,Statistically different from reference period five years previous (number),v53828774,54.1.3.7,..
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Life expectancy,v53828775,54.2.1.1,16.1
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Life expectancy,v53828775,54.2.1.1,18.3
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Life expectancy,v53828775,54.2.1.1,18.5
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Life expectancy,v53828775,54.2.1.1,18.9
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53828776,54.2.1.2,14.8
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53828776,54.2.1.2,17.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53828776,54.2.1.2,17.2
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53828776,54.2.1.2,17.6
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,"High 95% confidence interval, life expectancy",v53828777,54.2.1.3,17.4
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,"High 95% confidence interval, life expectancy",v53828777,54.2.1.3,19.6
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,"High 95% confidence interval, life expectancy",v53828777,54.2.1.3,19.8
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,"High 95% confidence interval, life expectancy",v53828777,54.2.1.3,20.3
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from the Canada rate (number),v53828778,54.2.1.4,-1.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from the Canada rate (number),v53828778,54.2.1.4,-1.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from the Canada rate (number),v53828778,54.2.1.4,-1.0
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from the Canada rate (number),v53828778,54.2.1.4,0.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from the provincial rate (number),v53828779,54.2.1.5,-1.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from the provincial rate (number),v53828779,54.2.1.5,-1.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from the provincial rate (number),v53828779,54.2.1.5,-1.0
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from the provincial rate (number),v53828779,54.2.1.5,0.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from the peer group rate (number),v53828780,54.2.1.6,0.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from the peer group rate (number),v53828780,54.2.1.6,1.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from the peer group rate (number),v53828780,54.2.1.6,1.0
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from the peer group rate (number),v53828780,54.2.1.6,1.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from reference period five years previous (number),v53828781,54.2.1.7,..
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from reference period five years previous (number),v53828781,54.2.1.7,1.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from reference period five years previous (number),v53828781,54.2.1.7,..
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Both sexes,Statistically different from reference period five years previous (number),v53828781,54.2.1.7,..
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Life expectancy,v53828782,54.2.2.1,14.7
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Life expectancy,v53828782,54.2.2.1,16.8
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Life expectancy,v53828782,54.2.2.1,18.0
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Life expectancy,v53828782,54.2.2.1,18.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,"Low 95% confidence interval, life expectancy",v53828783,54.2.2.2,13.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,"Low 95% confidence interval, life expectancy",v53828783,54.2.2.2,15.3
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,"Low 95% confidence interval, life expectancy",v53828783,54.2.2.2,16.4
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,"Low 95% confidence interval, life expectancy",v53828783,54.2.2.2,16.2
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,"High 95% confidence interval, life expectancy",v53828784,54.2.2.3,16.4
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,"High 95% confidence interval, life expectancy",v53828784,54.2.2.3,18.4
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,"High 95% confidence interval, life expectancy",v53828784,54.2.2.3,19.5
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,"High 95% confidence interval, life expectancy",v53828784,54.2.2.3,19.7
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from the Canada rate (number),v53828785,54.2.2.4,-1.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from the Canada rate (number),v53828785,54.2.2.4,0.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from the Canada rate (number),v53828785,54.2.2.4,0.0
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from the Canada rate (number),v53828785,54.2.2.4,0.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from the provincial rate (number),v53828786,54.2.2.5,-1.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from the provincial rate (number),v53828786,54.2.2.5,0.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from the provincial rate (number),v53828786,54.2.2.5,0.0
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from the provincial rate (number),v53828786,54.2.2.5,0.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from the peer group rate (number),v53828787,54.2.2.6,0.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from the peer group rate (number),v53828787,54.2.2.6,1.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from the peer group rate (number),v53828787,54.2.2.6,1.0
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from the peer group rate (number),v53828787,54.2.2.6,1.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from reference period five years previous (number),v53828788,54.2.2.7,..
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from reference period five years previous (number),v53828788,54.2.2.7,0.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from reference period five years previous (number),v53828788,54.2.2.7,..
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Males,Statistically different from reference period five years previous (number),v53828788,54.2.2.7,..
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Life expectancy,v53828789,54.2.3.1,17.9
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Life expectancy,v53828789,54.2.3.1,20.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Life expectancy,v53828789,54.2.3.1,19.5
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Life expectancy,v53828789,54.2.3.1,21.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,"Low 95% confidence interval, life expectancy",v53828790,54.2.3.2,16.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,"Low 95% confidence interval, life expectancy",v53828790,54.2.3.2,17.9
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,"Low 95% confidence interval, life expectancy",v53828790,54.2.3.2,17.2
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,"Low 95% confidence interval, life expectancy",v53828790,54.2.3.2,18.5
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,"High 95% confidence interval, life expectancy",v53828791,54.2.3.3,19.9
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,"High 95% confidence interval, life expectancy",v53828791,54.2.3.3,22.1
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,"High 95% confidence interval, life expectancy",v53828791,54.2.3.3,21.7
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,"High 95% confidence interval, life expectancy",v53828791,54.2.3.3,23.6
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from the Canada rate (number),v53828792,54.2.3.4,-1.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from the Canada rate (number),v53828792,54.2.3.4,0.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from the Canada rate (number),v53828792,54.2.3.4,0.0
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from the Canada rate (number),v53828792,54.2.3.4,0.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from the provincial rate (number),v53828793,54.2.3.5,-1.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from the provincial rate (number),v53828793,54.2.3.5,0.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from the provincial rate (number),v53828793,54.2.3.5,0.0
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from the provincial rate (number),v53828793,54.2.3.5,0.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from the peer group rate (number),v53828794,54.2.3.6,0.0
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from the peer group rate (number),v53828794,54.2.3.6,1.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from the peer group rate (number),v53828794,54.2.3.6,0.0
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from the peer group rate (number),v53828794,54.2.3.6,1.0
2000/2002,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from reference period five years previous (number),v53828795,54.2.3.7,..
2005/2007,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from reference period five years previous (number),v53828795,54.2.3.7,0.0
2006/2008,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from reference period five years previous (number),v53828795,54.2.3.7,..
2007/2009,"Région des Terres-Cries-de-la-Baie-James, Quebec",2418-F,At age 65,Females,Statistically different from reference period five years previous (number),v53828795,54.2.3.7,..
2000/2002,Ontario by Local Health Integration Network,35,At birth,Both sexes,Life expectancy,v53828796,55.1.1.1,79.8
2005/2007,Ontario by Local Health Integration Network,35,At birth,Both sexes,Life expectancy,v53828796,55.1.1.1,81.0
2006/2008,Ontario by Local Health Integration Network,35,At birth,Both sexes,Life expectancy,v53828796,55.1.1.1,81.3
2007/2009,Ontario by Local Health Integration Network,35,At birth,Both sexes,Life expectancy,v53828796,55.1.1.1,81.5
2000/2002,Ontario by Local Health Integration Network,35,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53828797,55.1.1.2,79.8
2005/2007,Ontario by Local Health Integration Network,35,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53828797,55.1.1.2,81.0
2006/2008,Ontario by Local Health Integration Network,35,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53828797,55.1.1.2,81.2
2007/2009,Ontario by Local Health Integration Network,35,At birth,Both sexes,"Low 95% confidence interval, life expectancy",v53828797,55.1.1.2,81.4
2000/2002,Ontario by Local Health Integration Network,35,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53828798,55.1.1.3,79.9
2005/2007,Ontario by Local Health Integration Network,35,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53828798,55.1.1.3,81.1
2006/2008,Ontario by Local Health Integration Network,35,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53828798,55.1.1.3,81.3
2007/2009,Ontario by Local Health Integration Network,35,At birth,Both sexes,"High 95% confidence interval, life expectancy",v53828798,55.1.1.3,81.5
2000/2002,Ontario by Local Health Integration Network,35,At birth,Both sexes,Statistically different from the Canada rate (number),v53828799,55.1.1.4,1.0
2005/2007,Ontario by Local Health Integration Network,35,At birth,Both sexes,Statistically different from the Canada rate (number),v53828799,55.1.1.4,1.0
2006/2008,Ontario by Local Health Integration Network,35,At birth,Both sexes,Statistically different from the Canada rate (number),v53828799,55.1.1.4,1.0
2007/2009,Ontario by Local Health Integration Network,35,At birth,Both sexes,Statistically different from the Canada rate (number),v53828799,55.1.1.4,1.0
2000/2002,Ontario by Local Health Integration Network,35,At birth,Both sexes,Statistically different from reference period five years previous (number),v53828800,55.1.1.7,..
2005/2007,Ontario by Local Health Integration Network,35,At birth,Both sexes,Statistically different from reference period five years previous (number),v53828800,55.1.1.7,1.0
2006/2008,Ontario by Local Health Integration Network,35,At birth,Both sexes,Statistically different from reference period five years previous (number),v53828800,55.1.1.7,..
2007/2009,Ontario by Local Health Integration Network,35,At birth,Both sexes,Statistically different from reference period five years previous (number),v53828800,55.1.1.7,..
2000/2002,Ontario by Local Health Integration Network,35,At birth,Males,Life expectancy,v53828801,55.1.2.1,77.4
2005/2007,Ontario by Local Health Integration Network,35,At birth,Males,Life expectancy,v53828801,55.1.2.1,78.8
2006/2008,Ontario by Local Health Integration Network,35,At birth,Males,Life expectancy,v53828801,55.1.2.1,79.0
2007/2009,Ontario by Local Health Integration Network,35,At birth,Males,Life expectancy,v53828801,55.1.2.1,79.2
2000/2002,Ontario by Local Health Integration Network,35,At birth,Males,"Low 95% confidence interval, life expectancy",v53828802,55.1.2.2,77.3
2005/2007,Ontario by Local Health Integration Network,35,At birth,Males,"Low 95% confidence interval, life expectancy",v53828802,55.1.2.2,78.7
2006/2008,Ontario by Local Health Integration Network,35,At birth,Males,"Low 95% confidence interval, life expectancy",v53828802,55.1.2.2,78.9
2007/2009,Ontario by Local Health Integration Network,35,At birth,Males,"Low 95% confidence interval, life expectancy",v53828802,55.1.2.2,79.2
2000/2002,Ontario by Local Health Integration Network,35,At birth,Males,"High 95% confidence interval, life expectancy",v53828803,55.1.2.3,77.5
2005/2007,Ontario by Local Health Integration Network,35,At birth,Males,"High 95% confidence interval, life expectancy",v53828803,55.1.2.3,78.8
2006/2008,Ontario by Local Health Integration Network,35,At birth,Males,"High 95% confidence interval, life expectancy",v53828803,55.1.2.3,79.1
2007/2009,Ontario by Local Health Integration Network,35,At birth,Males,"High 95% confidence interval, life expectancy",v53828803,55.1.2.3,79.3
2000/2002,Ontario by Local Health Integration Network,35,At birth,Males,Statistically different from the Canada rate (number),v53828804,55.1.2.4,1.0
2005/2007,Ontario by Local Health Integration Network,35,At birth,Males,Statistically different from the Canada rate (number),v53828804,55.1.2.4,1.0
2006/2008,Ontario by Local Health Integration Network,35,At birth,Males,Statistically different from the Canada rate (number),v53828804,55.1.2.4,1.0
2007/2009,Ontario by Local Health Integration Network,35,At birth,Males,Statistically different from the Canada rate (number),v53828804,55.1.2.4,1.0
2000/2002,Ontario by Local Health Integration Network,35,At birth,Males,Statistically different from reference period five years previous (number),v53828805,55.1.2.7,..
2005/2007,Ontario by Local Health Integration Network,35,At birth,Males,Statistically different from reference period five years previous (number),v53828805,55.1.2.7,1.0
2006/2008,Ontario by Local Health Integration Network,35,At birth,Males,Statistically different from reference period five years previous (number),v53828805,55.1.2.7,..
2007/2009,Ontario by Local Health Integration Network,35,At birth,Males,Statistically different from reference period five years previous (number),v53828805,55.1.2.7,..
2000/2002,Ontario by Local Health Integration Network,35,At birth,Females,Life expectancy,v53828806,55.1.3.1,82.1
2005/2007,Ontario by Local Health Integration Network,35,At birth,Females,Life expectancy,v53828806,55.1.3.1,83.1
2006/2008,Ontario by Local Health Integration Network,35,At birth,Females,Life expectancy,v53828806,55.1.3.1,83.4
2007/2009,Ontario by Local Health Integration Network,35,At birth,Females,Life expectancy,v53828806,55.1.3.1,83.6
2000/2002,Ontario by Local Health Integration Network,35,At birth,Females,"Low 95% confidence interval, life expectancy",v53828807,55.1.3.2,82.0
2005/2007,Ontario by Local Health Integration Network,35,At birth,Females,"Low 95% confidence interval, life expectancy",v53828807,55.1.3.2,83.1
2006/2008,Ontario by Local Health Integration Network,35,At birth,Females,"Low 95% confidence interval, life expectancy",v53828807,55.1.3.2,83.4
2007/2009,Ontario by Local Health Integration Network,35,At birth,Females,"Low 95% confidence interval, life expectancy",v53828807,55.1.3.2,83.5
2000/2002,Ontario by Local Health Integration Network,35,At birth,Females,"High 95% confidence interval, life expectancy",v53828808,55.1.3.3,82.1
2005/2007,Ontario by Local Health Integration Network,35,At birth,Females,"High 95% confidence interval, life expectancy",v53828808,55.1.3.3,83.2
2006/2008,Ontario by Local Health Integration Network,35,At birth,Females,"High 95% confidence interval, life expectancy",v53828808,55.1.3.3,83.5
2007/2009,Ontario by Local Health Integration Network,35,At birth,Females,"High 95% confidence interval, life expectancy",v53828808,55.1.3.3,83.7
2000/2002,Ontario by Local Health Integration Network,35,At birth,Females,Statistically different from the Canada rate (number),v53828809,55.1.3.4,0.0
2005/2007,Ontario by Local Health Integration Network,35,At birth,Females,Statistically different from the Canada rate (number),v53828809,55.1.3.4,1.0
2006/2008,Ontario by Local Health Integration Network,35,At birth,Females,Statistically different from the Canada rate (number),v53828809,55.1.3.4,1.0
2007/2009,Ontario by Local Health Integration Network,35,At birth,Females,Statistically different from the Canada rate (number),v53828809,55.1.3.4,1.0
2000/2002,Ontario by Local Health Integration Network,35,At birth,Females,Statistically different from reference period five years previous (number),v53828810,55.1.3.7,..
2005/2007,Ontario by Local Health Integration Network,35,At birth,Females,Statistically different from reference period five years previous (number),v53828810,55.1.3.7,1.0
2006/2008,Ontario by Local Health Integration Network,35,At birth,Females,Statistically different from reference period five years previous (number),v53828810,55.1.3.7,..
2007/2009,Ontario by Local Health Integration Network,35,At birth,Females,Statistically different from reference period five years previous (number),v53828810,55.1.3.7,..
2000/2002,Ontario by Local Health Integration Network,35,At age 65,Both sexes,Life expectancy,v53828811,55.2.1.1,18.9
2005/2007,Ontario by Local Health Integration Network,35,At age 65,Both sexes,Life expectancy,v53828811,55.2.1.1,19.9
2006/2008,Ontario by Local Health Integration Network,35,At age 65,Both sexes,Life expectancy,v53828811,55.2.1.1,20.2
2007/2009,Ontario by Local Health Integration Network,35,At age 65,Both sexes,Life expectancy,v53828811,55.2.1.1,20.3
2000/2002,Ontario by Local Health Integration Network,35,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53828812,55.2.1.2,18.9
2005/2007,Ontario by Local Health Integration Network,35,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53828812,55.2.1.2,19.9
2006/2008,Ontario by Local Health Integration Network,35,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53828812,55.2.1.2,20.1
2007/2009,Ontario by Local Health Integration Network,35,At age 65,Both sexes,"Low 95% confidence interval, life expectancy",v53828812,55.2.1.2,20.3
