"Geography (2,3)",Age group,Sex,Indicators,"Characteristics (50,51,52,53,54,71,84,87)",2013
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,93.6
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,8.6
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,7.7
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,15
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,20.5
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,23.4
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,24.2
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,48.1
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,54.4
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,45.6
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,57
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,24
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,52.5
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,71.8
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,78.8
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,23.1
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,5.1
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,35.3
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,14.9
"Région des Laurentides, Quebec [2415-A] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,5.9
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,95.5
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,9.3
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,6.7
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,8.1
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,17.8
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,18.5
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,19
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,49.6
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,51
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,49
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,52.4
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,15.6
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,56.9
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,75.2
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,73.5
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,27.8
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,4.6
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,28.1
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,14
"Région de la Montérégie, Quebec [2416-A] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,4.1
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,93
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,21.3
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,7.6
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,8.5
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,19.1
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,18.7
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,19.3
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,36.2
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,50
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,50
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,59.6
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,22.9
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,71.9
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,89.3
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,79.1
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,34.7
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,7.6
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,21
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,15.1
"Erie St. Clair Health Integration Network, Ontario [3501] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,6.1
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,92.8
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,21.1
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,6.6
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,8.5
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,16.8
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,17.3
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,21
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,39.5
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,50.9
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,49.1
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,59.7
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,29.4
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,67
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,93.1
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,74.3
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,36.7
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,10.3
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,29.3
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,13.9
"South West Health Integration Network, Ontario [3502] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,4.6
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,91.1
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,15.7
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,7.1
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,7.2
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,14.5
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,18.7
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,21.5
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,39.1
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,58.2
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,41.8
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,52.2
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,16.8
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,71.7
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,93.2
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,77
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,24.9
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,8.8
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,40.1
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,15.3
"Waterloo Wellington Health Integration Network, Ontario [3503] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,4.7
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,90.2
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,21.4
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,7.8
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,8
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,20.8
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,23.8
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,16.1
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,38.7
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,55.6
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,44.4
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,56.3
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,26.6
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,69.6
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,94.3
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,79.9
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,33.4
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,10.8
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,36.1
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,17.3
"Hamilton Niagara Haldimand Brant Health Integration Network, Ontario [3504] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,5.9
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,91.7
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,14.5
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,7
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,6.2
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,16.6
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,12.6
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,12.4
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,41.3
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,46.8
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,53.2
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,54.8
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,32.9
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,69.5
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,93.7
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,82.6
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,26.9
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,4.3
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,32.1
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,14.9
"Central West Health Integration Network, Ontario [3505] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,5
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,89.5
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,14.2
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,7.5
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,7.9
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,20.5
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,15.6
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,17.2
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,41.1
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,54.4
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,45.6
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,54.2
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,19
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,70.5
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,93.1
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,78.7
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,23.1
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,5.9
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,31.2
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,12.6
"Mississauga Halton Health Integration Network, Ontario [3506] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,F
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,89.2
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,15.3
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,4.3
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,6.7
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,15.8
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,19.3
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,24.7
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,44.4
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,56.9
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,43.1
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,42.7
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,65.6
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,84.4
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,82.6
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,30.8
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,11.3
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,51.6
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,13.7
"Toronto Central Health Integration Network, Ontario [3507] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,2.3
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,91.4
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,11.5
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,6.4
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,4.6
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,19
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,16.3
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,9.2
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,39.1
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,53.2
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,46.8
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,49.5
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,15.9
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,64
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,91.7
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,80.4
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,28.3
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,3.7
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,39.8
"Central Health Integration Network, Ontario [3508] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,13
